year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,A,Agriculture,a_0,Activityunit,46134,COUNT
2011,A,Agriculture,a_0,Rollingmeanemployees,0,COUNT
2011,A,Agriculture,a_0,Salariesandwagespaid,279,DOLLARS(millions)
2011,A,Agriculture,a_0,Salessalesgovernmentfundingsalesgrantsandsubsidies,8187,DOLLARS(millions)
2011,A,Agriculture,a_0,Totalincome,8866,DOLLARS(millions)
2011,A,Agriculture,a_0,Totalexpenditure,7618,DOLLARS(millions)
2011,A,Agriculture,a_0,Operatingprofitbeforetax,770,DOLLARS(millions)
2011,A,Agriculture,a_0,Totalassets,55700,DOLLARS(millions)
2011,A,Agriculture,a_0,Fixedtangibleassets,32155,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Activityunit,21777,COUNT
2011,A,Agriculture,b_1-5,Rollingmeanemployees,38136,COUNT
2011,A,Agriculture,b_1-5,Salariesandwagespaid,1435,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Salessalesgovernmentfundingsalesgrantsandsubsidies,13359,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Totalincome,13771,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Totalexpenditure,12316,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Operatingprofitbeforetax,1247,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Totalassets,52666,DOLLARS(millions)
2011,A,Agriculture,b_1-5,Fixedtangibleassets,31235,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Activityunit,1965,COUNT
2011,A,Agriculture,c_6-9,Rollingmeanemployees,13848,COUNT
2011,A,Agriculture,c_6-9,Salariesandwagespaid,467,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Salessalesgovernmentfundingsalesgrantsandsubsidies,3060,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Totalincome,3114,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Totalexpenditure,2895,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Operatingprofitbeforetax,223,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Totalassets,9323,DOLLARS(millions)
2011,A,Agriculture,c_6-9,Fixedtangibleassets,5482,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Activityunit,1140,COUNT
2011,A,Agriculture,d_10-19,Rollingmeanemployees,14850,COUNT
2011,A,Agriculture,d_10-19,Salariesandwagespaid,477,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Salessalesgovernmentfundingsalesgrantsandsubsidies,2396,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Totalincome,2438,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Totalexpenditure,2344,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Operatingprofitbeforetax,126,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Totalassets,6524,DOLLARS(millions)
2011,A,Agriculture,d_10-19,Fixedtangibleassets,3649,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Activityunit,480,COUNT
2011,A,Agriculture,e_20-49,Rollingmeanemployees,13983,COUNT
2011,A,Agriculture,e_20-49,Salariesandwagespaid,410,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Salessalesgovernmentfundingsalesgrantsandsubsidies,1806,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Totalincome,1885,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Totalexpenditure,1773,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Operatingprofitbeforetax,80,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Totalassets,3984,DOLLARS(millions)
2011,A,Agriculture,e_20-49,Fixedtangibleassets,1676,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Activityunit,111,COUNT
2011,A,Agriculture,f_50-99,Rollingmeanemployees,7419,COUNT
2011,A,Agriculture,f_50-99,Salariesandwagespaid,200,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Salessalesgovernmentfundingsalesgrantsandsubsidies,1075,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Totalincome,1170,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Totalexpenditure,1056,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Operatingprofitbeforetax,39,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Totalassets,2067,DOLLARS(millions)
2011,A,Agriculture,f_50-99,Fixedtangibleassets,930,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Activityunit,27,COUNT
2011,A,Agriculture,g_100-199,Rollingmeanemployees,3522,COUNT
2011,A,Agriculture,g_100-199,Salariesandwagespaid,86,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Salessalesgovernmentfundingsalesgrantsandsubsidies,341,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Totalincome,364,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Totalexpenditure,333,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Operatingprofitbeforetax,37,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Totalassets,807,DOLLARS(millions)
2011,A,Agriculture,g_100-199,Fixedtangibleassets,C,DOLLARS(millions)
2011,A,Agriculture,h_200+,Activityunit,15,COUNT
2011,A,Agriculture,h_200+,Rollingmeanemployees,6120,COUNT
2011,A,Agriculture,h_200+,Salariesandwagespaid,173,DOLLARS(millions)
2011,A,Agriculture,h_200+,Salessalesgovernmentfundingsalesgrantsandsubsidies,920,DOLLARS(millions)
2011,A,Agriculture,h_200+,Totalincome,1034,DOLLARS(millions)
2011,A,Agriculture,h_200+,Totalexpenditure,850,DOLLARS(millions)
2011,A,Agriculture,h_200+,Operatingprofitbeforetax,93,DOLLARS(millions)
2011,A,Agriculture,h_200+,Totalassets,2555,DOLLARS(millions)
2011,A,Agriculture,h_200+,Fixedtangibleassets,C,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Activityunit,71652,COUNT
2011,A,Agriculture,i_Industry_Total,Rollingmeanemployees,97878,COUNT
2011,A,Agriculture,i_Industry_Total,Salariesandwagespaid,3527,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Salessalesgovernmentfundingsalesgrantsandsubsidies,31145,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Totalincome,32642,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Totalexpenditure,29185,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Operatingprofitbeforetax,2616,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Totalassets,133625,DOLLARS(millions)
2011,A,Agriculture,i_Industry_Total,Fixedtangibleassets,76626,DOLLARS(millions)
2011,B,Mining,a_0,Activityunit,333,COUNT
2011,B,Mining,a_0,Rollingmeanemployees,0,COUNT
2011,B,Mining,a_0,Salariesandwagespaid,98,DOLLARS(millions)
2011,B,Mining,a_0,Salessalesgovernmentfundingsalesgrantsandsubsidies,2111,DOLLARS(millions)
2011,B,Mining,a_0,Totalincome,2271,DOLLARS(millions)
2011,B,Mining,a_0,Totalexpenditure,1673,DOLLARS(millions)
2011,B,Mining,a_0,Operatingprofitbeforetax,636,DOLLARS(millions)
2011,B,Mining,a_0,Totalassets,11988,DOLLARS(millions)
2011,B,Mining,a_0,Fixedtangibleassets,3579,DOLLARS(millions)
2011,B,Mining,b_1-5,Activityunit,168,COUNT
2011,B,Mining,b_1-5,Rollingmeanemployees,360,COUNT
2011,B,Mining,b_1-5,Salariesandwagespaid,50,DOLLARS(millions)
